,acc,latency,acc/latency,tot_block,tot_24,tot_40,tot_80,tot_112,tot_160,avg_e_24,avg_e_40,avg_e_80,avg_e_112,avg_e_160,tot_e_24,tot_e_40,tot_e_80,tot_e_112,tot_e_160,tot_e_16_24,tot_e_24_40,tot_e_40_80,tot_e_80_112,tot_e_112_160,avg_k_24,avg_k_40,avg_k_80,avg_k_112,avg_k_160,tot_k_24,tot_k_40,tot_k_80,tot_k_112,tot_k_160,tot_k_16_24,tot_k_24_40,tot_k_40_80,tot_k_80_112,tot_k_112_160,mbcv_e2_k3_24,mbcv_e2_k5_24,mbcv_e2_k7_24,mbcv_e3_k3_24,mbcv_e3_k5_24,mbcv_e3_k7_24,mbcv_e4_k3_24,mbcv_e4_k5_24,mbcv_e4_k7_24,mbcv_e6_k3_24,mbcv_e6_k5_24,mbcv_e6_k7_24,se_e2_k3_40,se_e2_k5_40,se_e2_k7_40,se_e3_k3_40,se_e3_k5_40,se_e3_k7_40,se_e4_k3_40,se_e4_k5_40,se_e4_k7_40,se_e6_k3_40,se_e6_k5_40,se_e6_k7_40,mbcv_e2_k3_80,mbcv_e2_k5_80,mbcv_e2_k7_80,mbcv_e3_k3_80,mbcv_e3_k5_80,mbcv_e3_k7_80,mbcv_e4_k3_80,mbcv_e4_k5_80,mbcv_e4_k7_80,mbcv_e6_k3_80,mbcv_e6_k5_80,mbcv_e6_k7_80,se_e2_k3_112,se_e2_k5_112,se_e2_k7_112,se_e3_k3_112,se_e3_k5_112,se_e3_k7_112,se_e4_k3_112,se_e4_k5_112,se_e4_k7_112,se_e6_k3_112,se_e6_k5_112,se_e6_k7_112,se_e2_k3_160,se_e2_k5_160,se_e2_k7_160,se_e3_k3_160,se_e3_k5_160,se_e3_k7_160,se_e4_k3_160,se_e4_k5_160,se_e4_k7_160,se_e6_k3_160,se_e6_k5_160,se_e6_k7_160,mbcv_e2_k3_24_I,mbcv_e2_k5_24_I,mbcv_e2_k7_24_I,mbcv_e3_k3_24_I,mbcv_e3_k5_24_I,mbcv_e3_k7_24_I,mbcv_e4_k3_24_I,mbcv_e4_k5_24_I,mbcv_e4_k7_24_I,mbcv_e6_k3_24_I,mbcv_e6_k5_24_I,mbcv_e6_k7_24_I,se_e2_k3_40_I,se_e2_k5_40_I,se_e2_k7_40_I,se_e3_k3_40_I,se_e3_k5_40_I,se_e3_k7_40_I,se_e4_k3_40_I,se_e4_k5_40_I,se_e4_k7_40_I,se_e6_k3_40_I,se_e6_k5_40_I,se_e6_k7_40_I,mbcv_e2_k3_80_I,mbcv_e2_k5_80_I,mbcv_e2_k7_80_I,mbcv_e3_k3_80_I,mbcv_e3_k5_80_I,mbcv_e3_k7_80_I,mbcv_e4_k3_80_I,mbcv_e4_k5_80_I,mbcv_e4_k7_80_I,mbcv_e6_k3_80_I,mbcv_e6_k5_80_I,mbcv_e6_k7_80_I,se_e2_k3_112_I,se_e2_k5_112_I,se_e2_k7_112_I,se_e3_k3_112_I,se_e3_k5_112_I,se_e3_k7_112_I,se_e4_k3_112_I,se_e4_k5_112_I,se_e4_k7_112_I,se_e6_k3_112_I,se_e6_k5_112_I,se_e6_k7_112_I,se_e2_k3_160_I,se_e2_k5_160_I,se_e2_k7_160_I,se_e3_k3_160_I,se_e3_k5_160_I,se_e3_k7_160_I,se_e4_k3_160_I,se_e4_k5_160_I,se_e4_k7_160_I,se_e6_k3_160_I,se_e6_k5_160_I,se_e6_k7_160_I
162,73.7,124.47004199028015,0.5921103489766254,13,2,2,3,3,3,6.0,6.0,2.5,2.0,5.0,6,6,5,4,10,3,4,6,2,6,7.0,5.0,6.0,4.0,4.0,7,5,12,8,8,3,3,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
163,73.4,115.9419298171997,0.6330755414863838,15,2,3,4,2,4,4.0,4.5,2.3333333333333335,2.0,6.0,4,9,7,2,18,3,6,2,3,2,3.0,3.0,4.333333333333333,7.0,4.333333333333333,3,6,13,7,13,5,7,5,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
164,74.0,143.18427801132202,0.5168165180408186,17,4,3,4,3,3,3.6666666666666665,3.0,3.3333333333333335,3.5,3.0,11,6,10,7,6,4,2,4,3,2,5.0,6.0,4.333333333333333,3.0,6.0,15,12,13,6,12,3,3,7,7,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
165,72.9,123.79581809043884,0.5888728805583968,15,4,3,2,3,3,2.3333333333333335,2.5,2.0,3.5,4.0,7,5,2,7,8,3,4,6,2,2,5.0,5.0,7.0,6.0,3.0,15,10,7,12,6,3,7,3,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
166,73.5,121.21906995773315,0.6063402402413093,13,3,3,2,3,2,2.5,2.0,2.0,3.5,3.0,5,4,2,7,3,3,6,4,6,6,5.0,4.0,7.0,5.0,7.0,10,8,7,10,7,5,7,5,5,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
167,74.2,170.80090403556824,0.43442393012479785,17,4,3,4,3,3,5.333333333333333,4.0,3.3333333333333335,3.0,3.5,16,8,10,6,7,4,3,3,2,6,5.0,6.0,5.0,3.0,6.0,15,12,15,6,12,5,3,5,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
168,74.7,138.04359197616577,0.5411334125013025,15,2,3,4,3,3,6.0,3.0,4.0,6.0,4.0,6,6,12,12,8,2,2,2,4,3,7.0,7.0,4.333333333333333,5.0,6.0,7,14,13,10,12,5,5,5,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0
169,74.6,160.53048253059387,0.46470924913455447,15,3,3,2,4,3,5.0,3.5,4.0,4.0,4.0,10,7,4,12,8,6,2,2,4,3,5.0,5.0,3.0,5.666666666666667,5.0,10,10,3,17,10,5,7,5,7,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
170,72.9,136.77434921264648,0.5329946764115877,15,4,3,2,2,4,2.6666666666666665,2.5,4.0,4.0,3.6666666666666665,8,5,4,4,11,4,3,3,4,3,6.333333333333333,5.0,7.0,3.0,4.333333333333333,19,10,7,3,13,5,3,5,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
171,75.1,146.99392318725586,0.5109054739924858,14,2,2,3,4,3,3.0,6.0,3.5,5.333333333333333,4.5,3,6,7,16,9,6,3,4,6,3,3.0,7.0,3.0,5.666666666666667,5.0,3,7,6,17,10,5,7,7,7,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0
172,73.6,147.1329128742218,0.5002279813689121,16,4,4,2,2,4,3.6666666666666665,3.0,6.0,4.0,2.6666666666666665,11,9,6,4,8,6,3,6,3,3,3.6666666666666665,4.333333333333333,7.0,5.0,6.333333333333333,11,13,7,5,19,3,5,3,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
173,74.7,198.321191072464,0.3766617152511231,18,4,4,3,3,4,4.0,4.666666666666667,4.0,2.5,3.3333333333333335,12,14,8,5,10,4,6,3,3,4,7.0,5.0,6.0,5.0,5.666666666666667,21,15,12,10,17,3,5,7,7,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
174,74.1,163.7459409236908,0.45253030140473666,15,4,2,3,4,2,4.0,3.0,5.0,4.666666666666667,4.0,12,3,10,14,4,3,4,6,2,2,6.333333333333333,5.0,5.0,5.0,3.0,19,5,10,15,3,3,3,5,7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
175,74.2,125.56401968002321,0.5909336144947019,15,2,4,4,3,2,4.0,2.3333333333333335,4.666666666666667,4.5,4.0,4,7,14,9,4,2,2,2,6,6,7.0,5.666666666666667,4.333333333333333,5.0,7.0,7,17,13,10,7,3,7,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
176,71.9,129.3811309337616,0.5557224572168115,13,3,3,2,3,2,4.5,2.5,2.0,3.0,2.0,9,5,2,6,2,6,6,2,3,3,4.0,5.0,7.0,4.0,5.0,8,10,7,8,5,3,5,5,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
177,74.2,167.78406620025635,0.44223508036478043,17,4,4,2,4,3,3.0,4.333333333333333,2.0,3.3333333333333335,2.5,9,13,2,10,5,4,2,4,6,4,5.666666666666667,5.0,3.0,6.333333333333333,5.0,17,15,3,19,10,5,7,3,7,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
178,72.5,146.33987545967102,0.49542204250392347,13,3,2,2,3,3,4.5,4.0,2.0,3.0,2.0,9,4,2,6,4,6,6,2,3,6,5.0,7.0,3.0,6.0,4.0,10,7,3,12,8,5,7,7,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
179,74.4,120.2709448337555,0.618603271994241,15,2,3,2,4,4,4.0,3.5,2.0,4.666666666666667,3.0,4,7,2,14,9,2,3,6,2,4,5.0,5.0,5.0,5.0,5.0,5,10,5,15,15,5,5,5,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
180,74.1,171.50632619857788,0.43205403347164945,16,4,2,4,4,2,3.3333333333333335,4.0,4.0,4.666666666666667,2.0,10,4,12,14,2,4,6,6,6,2,5.0,7.0,4.333333333333333,4.333333333333333,5.0,15,7,13,13,5,7,3,3,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
181,75.1,168.36324453353882,0.4460593534418356,17,2,4,4,4,3,4.0,4.666666666666667,3.6666666666666665,4.333333333333333,4.5,4,14,11,13,9,6,2,2,3,6,5.0,7.0,6.333333333333333,5.0,5.0,5,21,19,15,10,5,3,5,3,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
182,74.6,129.60407853126526,0.5755991697591811,17,2,4,3,4,4,6.0,4.0,3.5,3.3333333333333335,2.6666666666666665,6,12,7,10,8,3,2,6,3,3,3.0,4.333333333333333,5.0,5.666666666666667,5.666666666666667,3,13,10,17,17,5,3,5,3,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
183,75.1,163.90756845474243,0.458185065570882,16,3,4,3,3,3,4.0,2.0,3.0,6.0,4.5,8,6,6,12,9,4,6,4,3,6,7.0,3.0,5.0,7.0,6.0,14,9,10,14,12,3,3,5,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1
184,74.6,160.73373913764954,0.46412159886427995,17,4,2,4,3,4,3.3333333333333335,6.0,3.3333333333333335,4.5,3.3333333333333335,10,6,10,9,10,6,3,4,6,2,5.0,3.0,7.0,6.0,5.0,15,3,21,12,15,3,5,3,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
185,73.2,126.37440323829652,0.5792312218635859,13,2,3,4,2,2,4.0,2.0,3.3333333333333335,6.0,6.0,4,4,10,6,6,6,3,3,3,2,5.0,3.0,5.0,3.0,5.0,5,6,15,3,5,7,7,7,5,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
186,74.5,128.97566556930542,0.5776283430766033,15,3,3,3,3,3,2.0,6.0,5.0,3.0,4.0,4,12,10,6,8,2,6,4,6,4,4.0,4.0,7.0,5.0,4.0,8,8,14,10,8,3,3,5,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
187,72.3,98.78980040550232,0.7318569295942527,12,2,3,3,2,2,2.0,2.5,2.5,6.0,4.0,2,5,5,6,4,4,2,6,4,2,3.0,7.0,6.0,5.0,3.0,3,14,12,5,3,3,7,5,5,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
188,72.3,100.78914999961853,0.7173391183502752,13,2,3,2,2,4,3.0,4.0,4.0,3.0,3.0,3,8,4,3,9,3,3,3,2,2,5.0,5.0,7.0,5.0,3.6666666666666665,5,10,7,5,11,3,7,5,7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
189,74.7,156.4706563949585,0.477405807076341,17,4,3,3,3,4,3.3333333333333335,5.0,5.0,4.0,4.333333333333333,10,10,10,8,13,3,3,2,4,2,4.333333333333333,6.0,4.0,6.0,6.333333333333333,13,12,8,12,19,3,7,3,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
190,74.4,137.32485055923462,0.5417810374234328,13,2,3,2,3,3,3.0,2.5,3.0,4.0,6.0,3,5,3,8,12,6,3,6,4,3,7.0,6.0,7.0,6.0,5.0,7,12,7,12,10,5,3,7,7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
191,72.8,171.37911677360535,0.42478921218954585,15,4,3,2,2,4,4.666666666666667,4.5,6.0,6.0,2.0,14,9,6,6,6,4,6,2,2,4,5.666666666666667,4.0,3.0,7.0,4.333333333333333,17,8,3,7,13,3,5,7,3,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0
192,74.4,138.15427422523499,0.5385283981782899,14,2,3,4,2,3,6.0,4.5,3.0,4.0,5.0,6,9,9,4,10,6,6,2,4,6,3.0,4.0,4.333333333333333,3.0,4.0,3,8,13,3,8,5,3,7,7,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
193,73.5,122.91621923446655,0.5979682783750161,18,4,4,3,3,4,3.3333333333333335,2.3333333333333335,3.5,3.0,3.3333333333333335,10,7,7,6,10,2,2,2,2,2,3.6666666666666665,5.0,4.0,6.0,3.6666666666666665,11,15,8,12,11,3,7,7,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
194,74.2,198.19486260414124,0.37437902791759653,17,4,3,4,4,2,3.3333333333333335,6.0,2.6666666666666665,2.6666666666666665,4.0,10,12,8,8,4,6,6,2,2,4,6.333333333333333,7.0,6.333333333333333,5.0,7.0,19,14,19,15,7,7,7,5,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
