,acc,latency,acc/latency,tot_block,tot_24,tot_40,tot_80,tot_112,tot_160,avg_e_24,avg_e_40,avg_e_80,avg_e_112,avg_e_160,tot_e_24,tot_e_40,tot_e_80,tot_e_112,tot_e_160,tot_e_16_24,tot_e_24_40,tot_e_40_80,tot_e_80_112,tot_e_112_160,avg_k_24,avg_k_40,avg_k_80,avg_k_112,avg_k_160,tot_k_24,tot_k_40,tot_k_80,tot_k_112,tot_k_160,tot_k_16_24,tot_k_24_40,tot_k_40_80,tot_k_80_112,tot_k_112_160,mbcv_e2_k3_24,mbcv_e2_k5_24,mbcv_e2_k7_24,mbcv_e3_k3_24,mbcv_e3_k5_24,mbcv_e3_k7_24,mbcv_e4_k3_24,mbcv_e4_k5_24,mbcv_e4_k7_24,mbcv_e6_k3_24,mbcv_e6_k5_24,mbcv_e6_k7_24,se_e2_k3_40,se_e2_k5_40,se_e2_k7_40,se_e3_k3_40,se_e3_k5_40,se_e3_k7_40,se_e4_k3_40,se_e4_k5_40,se_e4_k7_40,se_e6_k3_40,se_e6_k5_40,se_e6_k7_40,mbcv_e2_k3_80,mbcv_e2_k5_80,mbcv_e2_k7_80,mbcv_e3_k3_80,mbcv_e3_k5_80,mbcv_e3_k7_80,mbcv_e4_k3_80,mbcv_e4_k5_80,mbcv_e4_k7_80,mbcv_e6_k3_80,mbcv_e6_k5_80,mbcv_e6_k7_80,se_e2_k3_112,se_e2_k5_112,se_e2_k7_112,se_e3_k3_112,se_e3_k5_112,se_e3_k7_112,se_e4_k3_112,se_e4_k5_112,se_e4_k7_112,se_e6_k3_112,se_e6_k5_112,se_e6_k7_112,se_e2_k3_160,se_e2_k5_160,se_e2_k7_160,se_e3_k3_160,se_e3_k5_160,se_e3_k7_160,se_e4_k3_160,se_e4_k5_160,se_e4_k7_160,se_e6_k3_160,se_e6_k5_160,se_e6_k7_160,mbcv_e2_k3_24_I,mbcv_e2_k5_24_I,mbcv_e2_k7_24_I,mbcv_e3_k3_24_I,mbcv_e3_k5_24_I,mbcv_e3_k7_24_I,mbcv_e4_k3_24_I,mbcv_e4_k5_24_I,mbcv_e4_k7_24_I,mbcv_e6_k3_24_I,mbcv_e6_k5_24_I,mbcv_e6_k7_24_I,se_e2_k3_40_I,se_e2_k5_40_I,se_e2_k7_40_I,se_e3_k3_40_I,se_e3_k5_40_I,se_e3_k7_40_I,se_e4_k3_40_I,se_e4_k5_40_I,se_e4_k7_40_I,se_e6_k3_40_I,se_e6_k5_40_I,se_e6_k7_40_I,mbcv_e2_k3_80_I,mbcv_e2_k5_80_I,mbcv_e2_k7_80_I,mbcv_e3_k3_80_I,mbcv_e3_k5_80_I,mbcv_e3_k7_80_I,mbcv_e4_k3_80_I,mbcv_e4_k5_80_I,mbcv_e4_k7_80_I,mbcv_e6_k3_80_I,mbcv_e6_k5_80_I,mbcv_e6_k7_80_I,se_e2_k3_112_I,se_e2_k5_112_I,se_e2_k7_112_I,se_e3_k3_112_I,se_e3_k5_112_I,se_e3_k7_112_I,se_e4_k3_112_I,se_e4_k5_112_I,se_e4_k7_112_I,se_e6_k3_112_I,se_e6_k5_112_I,se_e6_k7_112_I,se_e2_k3_160_I,se_e2_k5_160_I,se_e2_k7_160_I,se_e3_k3_160_I,se_e3_k5_160_I,se_e3_k7_160_I,se_e4_k3_160_I,se_e4_k5_160_I,se_e4_k7_160_I,se_e6_k3_160_I,se_e6_k5_160_I,se_e6_k7_160_I
152,72.3,136.3668704032898,0.5301874259208327,14,3,3,4,2,2,5.0,3.0,3.0,3.0,2.0,10,6,9,3,2,4,4,6,4,3,5.0,6.0,5.0,3.0,7.0,10,12,15,3,7,3,5,7,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
153,71.4,127.8533720970154,0.5584522240510132,13,4,2,2,2,3,3.0,2.0,3.0,4.0,2.5,9,2,3,4,5,3,2,4,2,6,7.0,5.0,7.0,7.0,5.0,21,5,7,7,10,3,3,3,5,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
154,69.8,83.0772852897644,0.8401815220194702,10,2,2,2,2,2,4.0,2.0,6.0,2.0,4.0,4,2,6,2,4,2,4,2,2,2,5.0,7.0,7.0,5.0,3.0,5,7,7,5,3,3,5,3,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
155,73.8,165.21398305892944,0.4466934252997012,15,4,3,3,2,3,5.333333333333333,2.5,2.5,6.0,3.0,16,5,5,6,6,6,3,2,4,6,4.333333333333333,5.0,6.0,7.0,5.0,13,10,12,7,10,3,7,3,7,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
156,74.6,126.32939577102661,0.5905197246032372,17,3,2,4,4,4,2.5,6.0,3.6666666666666665,5.0,3.3333333333333335,5,6,11,15,10,3,2,4,2,2,5.0,3.0,3.0,3.6666666666666665,5.666666666666667,10,3,9,11,17,5,5,7,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0
157,72.9,144.3862509727478,0.5048957190096965,14,4,2,2,3,3,5.333333333333333,2.0,2.0,5.0,3.0,16,2,2,10,6,2,6,2,2,4,4.333333333333333,7.0,3.0,4.0,4.0,13,7,3,8,8,3,7,3,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
158,75.2,160.094496011734,0.4697225818087355,16,2,3,4,4,3,6.0,2.5,4.0,4.0,4.5,6,5,12,12,9,6,6,3,4,6,3.0,3.0,5.666666666666667,6.333333333333333,6.0,3,6,17,19,12,7,3,7,3,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
159,71.7,91.65552496910095,0.7822769006469781,11,3,2,2,2,2,4.0,3.0,3.0,4.0,3.0,8,3,3,4,3,2,2,3,3,6,3.0,5.0,5.0,3.0,3.0,6,5,5,3,3,3,7,5,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
160,73.1,115.61931371688843,0.6322473092946782,13,2,4,2,2,3,3.0,2.6666666666666665,4.0,3.0,6.0,3,8,4,3,12,4,3,2,2,3,7.0,5.666666666666667,3.0,7.0,4.0,7,17,3,7,8,5,5,7,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
161,73.6,134.83256936073303,0.5458621781736538,14,3,2,2,3,4,2.5,4.0,2.0,3.0,4.666666666666667,5,4,2,6,14,6,2,4,6,4,5.0,3.0,7.0,6.0,5.0,10,3,7,12,15,7,7,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
